,Band_gap_HSE,Band_gap_GGA,Band_gap_GGA_optical,Direct_or_indirect,SOC,Space_group_rlx,Magnetic_ordering,Direct_or_indirect_HSE,Band_gap_HSE_optical
67,3.050442,1.958661,1.958661,Direct,FALSE,15,NM,Direct,3.050442
68,4.554208,2.656919,4.260982,Indirect,FALSE,148,NM,Indirect,6.256752
69,3.381309,2.228965,2.601646,Indirect,FALSE,57,NM,Indirect,3.815992
70,3.740377,2.252553,2.326945,Indirect,FALSE,73,NM,Indirect,3.804398
71,3.649499,2.372023,2.911505,Indirect,FALSE,63,NM,Indirect,4.233834
72,4.259021,3.154054,3.172597,Indirect,FALSE,148,NM,Indirect,4.271133
73,2.543806,1.300029,2.093568,Indirect,FALSE,59,NM,Indirect,3.319106
74,3.82678,2.619155,2.921603,Indirect,FALSE,15,NM,Indirect,4.090599
75,3.680051,2.616013,3.759484,Indirect,FALSE,58,NM,Indirect,4.924312
76,4.286318,2.940288,4.728991,Indirect,FALSE,160,NM,Indirect,6.198039
77,3.704054,2.212373,2.315836,Indirect,FALSE,57,NM,Indirect,3.837272
78,4.484769,2.957716,3.236653,Indirect,FALSE,14,NM,Indirect,4.770305
79,3.472215,2.516797,2.516797,Direct,FALSE,131,NM,Direct,3.472215
80,2.160619,1.397374,1.474105,Indirect,FALSE,62,NM,Indirect,2.210208
81,3.371901,2.399725,5.325505,Indirect,FALSE,123,NM,Indirect,6.456896
82,2.280355,1.308579,4.634514,Indirect,FALSE,187,NM,Indirect,5.943038
83,3.766462,2.576314,3.634422,Indirect,FALSE,15,NM,Indirect,4.966662
84,2.428665,1.20222,1.433561,Indirect,FALSE,15,NM,Direct,2.428665
85,3.537611,2.498679,2.498813,Indirect,FALSE,12,NM,Indirect,3.537626
86,4.67318,3.357065,3.384369,Indirect,FALSE,46,NM,Indirect,4.714605
87,4.333575,3.144434,3.369556,Indirect,FALSE,31,NM,Indirect,4.556232
88,0.19187,0.116559,0.214905,Indirect,FALSE,189,NM,Direct,0.19187
89,0.367644,0,0,Null,FALSE,62,NM,Indirect,0.812767
90,3.433337,1.852829,2.430745,Indirect,FALSE,62,NM,Indirect,3.639489
91,2.092385,1.015877,1.015877,Direct,FALSE,31,NM,Direct,2.092385
92,2.202747,0.522174,0.522174,Direct,FALSE,67,NM,Direct,2.202747
93,2.182708,0.616087,1.567956,Indirect,FALSE,54,NM,Indirect,3.313349
94,4.20993,2.325548,3.208639,Indirect,FALSE,87,NM,Indirect,5.08077
95,3.194673,2.330909,2.438532,Indirect,FALSE,85,NM,Indirect,3.336075
96,4.604647,2.631969,5.000198,Indirect,FALSE,121,NM,Indirect,7.12001
97,4.923812,2.882815,2.882815,Direct,FALSE,62,NM,Direct,4.923812
98,4.446148,2.526893,3.938989,Indirect,FALSE,216,NM,Indirect,6.02005
